claim_id,file,line,category,claim,reality,status,severity,confidence,evidence_cmd,evidence_source,proposed_fix
C-001,.ai/features/airspeed/80_OPEN_ISSUES.md,13,path,"airspeed_bridge.py ""✅ Created"" at src/SIM_ARD_GAW/scripts/airspeed_bridge.py","File does not exist — architecture was superseded by native JSON transport",WRONG,Critical,High,"grep -rn airspeed_bridge.py src/SIM_ARD_GAW/scripts/","ls of scripts/ dir","Remove claim or add superseded note"
C-002,.ai/architecture/COMMANDS.md,52,command,"wind-check-altitude is a valid launch target calling wind_altitude_log_check.py","Script wind_altitude_log_check.py does NOT exist at scripts/",WRONG,Critical,High,"grep -rn wind_altitude_log_check.py src/SIM_ARD_GAW/scripts/","ls of scripts/ dir","Create script or remove target from launch.sh and all docs"
C-003,.ai/external_mods/SUMMARY.md,36,param,"ARSPD_TYPE=100 in plane_base.parm","plane_base.parm has ARSPD_TYPE=0; plane_airspeed.parm has ARSPD_TYPE=100",WRONG,Critical,High,"grep ARSPD_TYPE config/plane_base.parm config/plane_airspeed.parm","config/parm files","Change to plane_airspeed.parm in all 6 references"
C-004,.ai/issues/RESOLVED.md,132,session,"References session 2026-05-11_001","Session file does not exist — most recent is 2026-03-30_001.md",WRONG,Critical,High,"ls .ai/sessions/2026-05-11*.md 2>&1","filesystem","Create missing session files or update references"
C-005,.ai/tests/airspeed_claim_test_matrix.md,20,param,"diff_pressure ≈ +15.31 Pa","SDF bench_s1_airspeed.sdf:13 says ≈ -15.3 Pa",WRONG,Critical,High,"grep diff_pressure worlds/bench_s1_airspeed.sdf","worlds/bench_s1_airspeed.sdf","Reconcile sign convention"
H-001,.ai/reconciliation/MASTER_STATUS_MATRIX.md,2,metadata,"last_updated: 2026-05-11","Line 42 says ""user decision on 2026-05-12"" — one day after last_updated",WRONG,High,High,"grep '2026-05-12' MASTER_STATUS_MATRIX.md","MASTER_STATUS_MATRIX.md:42","Update last_updated to 2026-05-12"
H-002,.ai/reconciliation/MASTER_STATUS_MATRIX.md,107,path,"archive/ardupilot_logs_20260506/00000110.BIN is primary LiDAR evidence","File exists at workspace root (not SIM_ARD_GAW-relative); path is ambiguous",WRONG,High,High,"find / -name '00000110.BIN' 2>/dev/null","filesystem","Document explicit absolute path or clarify prefix"
H-003,.ai/reconciliation/MASTER_STATUS_MATRIX.md,42,status,"Landing Gear DEPRECATED_ARCHIVE — abandoned","CURRENT.md:36-37 says ""deferred"" — contradictory status",WRONG,High,High,"grep 'GEAR-001\|GEAR-002\|deferred\|abandoned' CURRENT.md MASTER_STATUS_MATRIX.md","cross-doc comparison","Resolve contradiction — update one to match the other"
H-004,.ai/QUICK_START.md,119,path,"Logs saved to logs/flights/","Directory logs/flights/ does not exist; real logs in numbered buckets",WRONG,High,High,"ls -d src/SIM_ARD_GAW/logs/flights/ 2>&1","filesystem","Update all docs and launch.sh to correct log directory"
H-005,.ai/vehicles/fixed_wing/STATUS.md,83,path,"References plane_lidar_runway.sdf","File renamed to mini_talon_lidar_runway.sdf",WRONG,High,High,"ls worlds/plane_lidar_runway.sdf 2>&1","worlds/ dir","Update to mini_talon_lidar_runway.sdf"
H-006,.ai/vehicles/quadcopter/STATUS.md,12,status,"the only verified working configuration","Fixed-Wing also marked WORKING in vehicles/README.md",WRONG,High,High,"grep 'WORKING' vehicles/README.md vehicles/fixed_wing/STATUS.md","cross-doc comparison","Remove ""only"" or clarify meaning"
H-007,.ai/issues/RESOLVED.md,4,metadata,"last_updated: 2026-03-10","Contains entries dated 2026-05-11",WRONG,High,High,"grep '2026-05-11' RESOLVED.md","RESOLVED.md content","Update to 2026-05-11"
H-008,.ai/external_mods/ardupilot_gazebo/README.md,69,path,"src/ArduPilotPlugin.hh listed as unmodified","File does not exist — only .cc exists",WRONG,High,High,"ls src/ardupilot_gazebo/src/ArduPilotPlugin.hh 2>&1","filesystem","Remove entry or correct extension"
M-001,.ai/reconciliation/MASTER_STATUS_MATRIX.md,33,coverage,"8 major tracks cover all significant work","Log dirs 017/018/019 (primary campaign) have no matrix track",INCOMPLETE,Medium,High,"ls -d src/SIM_ARD_GAW/logs/01[7-9]*","logs/ dir listing","Add Wind Matrix/CTE Validation track"
M-002,.ai/architecture/SIMULATION_LANES.md,34,architecture,"gazebo-plane-wind-sea-level is alias for Airspeed/CTE","It is a separate launch case with distinct world file",WRONG,Medium,High,"launch.sh lines 891-894","launch.sh","Remove from alias list or add as separate lane entry"
M-003,.ai/issues/README.md,31,coverage,"Prefix table lists all documented prefixes","LAND-, GEAR-, ARSPD-, TECH- prefixes missing",INCOMPLETE,Medium,High,"grep -E 'LAND-|GEAR-|ARSPD-|TECH-' OPEN.md RESOLVED.md","issue files","Add all 4 missing prefixes"
M-004,.ai/features/wind_matrix/55_DATASET_QUALITY_AND_PARAM_FAILURE.md,7,data,"63 named BINs audited for 018","018 has 106 BIN files; 63 is filtered subset",AMBIGUOUS,Medium,Medium,"ls src/SIM_ARD_GAW/logs/018_*/scripts/round_robin_logs/*sitl.log|wc -l","logs/018 dir","Clarify whether 63 is pre- or post-audit"
