lane,targets,status,vehicle,proof,heartbeat_count,max_altitude_m,max_groundspeed_mps,sensor_or_bridge,evidence
Base plane,plane + gazebo-plane,verified,Mini Talon,"SITL/Gazebo/MAVLink handshake, GPS, EKF3, armed, physics coupling",256,0.2,17.33,none,evidence/curated_logs/phase_2_runtime_2026-05-20/plane_evidence.txt
CTE / airspeed,plane-cte + gazebo-plane-cte,verified,Mini Talon,"SITL/Gazebo/MAVLink handshake, GPS, EKF3, Armed AUTO, airborne CTE lane",126,46.86,23.06,airspeed/wind lane,evidence/curated_logs/phase_2_runtime_2026-05-20/plane-cte_evidence.txt
Plane LiDAR,plane-lidar + gazebo-plane-lidar + bridge-plane,verified,Mini Talon,Airborne plane LiDAR lane plus Gazebo /lidar -> bridge -> MAVLink -> ArduPilot AGL readings,199,52.51,22.37,bridge-plane AGL 1.83 m -> 35.60 m,evidence/curated_logs/phase_2_runtime_2026-05-20/plane-lidar_evidence.txt; evidence/curated_logs/phase_2_runtime_2026-05-20/bridge-plane_console.txt
Copter base,copter + gazebo-copter,verified,Iris,"SITL/Gazebo/MAVLink handshake, GPS, EKF3, armed, takeoff 10 reached",201,10.02,0.04,none,evidence/curated_logs/phase_2_runtime_2026-05-20/copter_evidence.txt
Copter LiDAR,copter-lidar + gazebo-copter-lidar + bridge-copter,verified with caveat,Iris,Copter LiDAR handshake and flight; bridge streamed 922 DISTANCE_SENSOR messages; obstacle return not captured,793,4.04,2.46,bridge-copter 922 DISTANCE_SENSOR messages,evidence/curated_logs/phase_2_runtime_2026-05-20/copter-lidar_evidence.txt; evidence/curated_logs/phase_2_runtime_2026-05-20/bridge-copter_console.txt
Staircase,plane-staircase + gazebo-plane-staircase + bridge-plane,not yet tested,Mini Talon,Expansion lane present in lane map; no dated runtime proof yet,,,,LiDAR overpass mission,docs/architecture/simulation_lanes.md
Integrated airspeed+LiDAR,plane-airspeed-lidar + gazebo-plane-airspeed-lidar + bridge-plane,not yet tested,Mini Talon,Expansion lane present in lane map; no dated runtime proof yet,,,,airspeed + LiDAR integrated stack,docs/architecture/simulation_lanes.md
Altitude-wind,plane-altitude-wind + gazebo-plane-altitude-wind + wind-publisher-altitude,not yet tested,Mini Talon,Expansion lane present in lane map; no dated runtime proof yet,,,,runtime wind-function proof lane,docs/architecture/simulation_lanes.md
Rebuild,plane-rebuild + gazebo-plane-rebuild,not yet tested,Mini Talon,Expansion lane present in lane map; no dated runtime proof yet,,,,incremental wind/airspeed investigation,docs/architecture/simulation_lanes.md
Bench,gazebo-plane-bench and related,not a flight lane,Mini Talon,"Bench worlds are isolation harnesses, not flight-ready operating worlds",,,,manual sensor experiment harness,docs/architecture/simulation_lanes.md
